Luxe name,Date,Price(In dollar),Distance
"Koh Samui, Thailand",May 1 – 29,"89,600.00","1,880 kilometers away"
"Koh Samui, Thailand",May 1 – 29,"78,459.00","1,880 kilometers away"
"Koh Samui, Thailand",May 1 – 29,"53,200.00","1,881 kilometers away"
"Koh Samui, Thailand",May 1 – 29,"35,000.00","1,880 kilometers away"
"Nathon, Thailand",May 1 – 29,"19,656.00","1,872 kilometers away"
"Koh Samui, Thailand",May 1 – 29,"57,400.00","1,880 kilometers away"
"Koh Samui, Thailand",May 1 – 29,"19,858.00","1,877 kilometers away"
"Koh Samui , Thailand",May 1 – 29,"42,199.00","1,880 kilometers away"
"Koh Samui, Thailand",May 1 – 29,"42,199.00","1,880 kilometers away"
"Chaweng Noi, Thailand",May 1 – 29,"38,733.00","1,882 kilometers away"
"Ko Samui, Thailand",May 1 – 29,"32,536.00","1,880 kilometers away"
"Chawang, Thailand",May 1 – 29,"78,400.00","1,881 kilometers away"
"Lipa Noi, Thailand",May 1 – 29,"61,600.00","1,877 kilometers away"
"Koh Samui, Thailand",May 1 – 29,"49,804.00","1,880 kilometers away"
"Mae Nam, Koh Samui, Thailand",May 1 – 29,"29,876.00","1,870 kilometers away"
"T. Bophut A., Thailand",May 1 – 29,"50,820.00","1,880 kilometers away"
"Koh Samui, Thailand",May 1 – 29,"42,199.00","1,880 kilometers away"
"Bophut, Thailand",May 1 – 29,"40,347.00","1,877 kilometers away"
"Chang Wat Surat Thani, Thailand",May 1 – 29,"55,860.00","1,871 kilometers away"
"Maret, Thailand",May 1 – 29,"23,159.00","1,880 kilometers away"
"Suratthani, Thailand",May 1 – 29,"64,260.00","1,871 kilometers away"
"Koh Samui, Thailand",May 1 – 29,"49,140.00","1,878 kilometers away"
"Koh Samui, Thailand",May 1 – 29,"42,199.00","1,880 kilometers away"
"Koh Samui, Thailand",May 1 – 29,"25,970.00","1,880 kilometers away"
"Koh Samui, Thailand",May 1 – 29,"18,900.00","1,880 kilometers away"
"Koh Samui, Thailand",May 1 – 29,"21,560.00","1,880 kilometers away"
"Koh Samui, Thailand",May 1 – 29,"93,240.00","1,870 kilometers away"
"Koh Samui, Thailand",May 1 – 29,"49,804.00","1,880 kilometers away"
"Mae Nam, Thailand",May 1 – 29,"31,626.00","1,871 kilometers away"
"Koh Samui, Thailand",May 1 – 29,"42,199.00","1,880 kilometers away"
"Koh Samui, Thailand",May 1 – 29,"35,000.00","1,874 kilometers away"
"Bophut, Thailand",May 1 – 29,"12,096.00","1,878 kilometers away"
"Bo Phut, Thailand",May 2 – 30,"49,000.00","1,877 kilometers away"
"Koh Samui, Thailand",May 1 – 29,"79,380.00","1,877 kilometers away"
"Koh Samui, Thailand",May 1 – 29,"42,199.00","1,880 kilometers away"
"Lipa Noi, Thailand",May 1 – 29,"50,274.00","1,877 kilometers away"
"Koh Samui, Thailand",May 1 – 29,"36,848.00","1,880 kilometers away"
"Tambon Bo Put, Thailand",May 1 – 29,"24,920.00","1,884 kilometers away"
"Koh Samui, Thailand",May 1 – 29,"72,800.00","1,881 kilometers away"
"Koh Samui, Thailand",May 1 – 29,"49,804.00","1,880 kilometers away"
"Chang Wat Surat Thani , Thailand",May 1 – 29,"16,632.00","1,879 kilometers away"
"Koh Samui, Thailand",May 1 – 29,"25,970.00","1,880 kilometers away"
"Koh Samui, Thailand",May 1 – 29,"22,100.00","1,877 kilometers away"
"Ko Pha Ngan, Thailand",May 1 – 29,"30,240.00","1,860 kilometers away"
"Samui, Thailand",May 1 – 29,"22,568.00","1,877 kilometers away"
"Koh Samui, Thailand",May 1 – 29,"36,848.00","1,880 kilometers away"
"Koh Samui, Thailand",May 1 – 29,"25,970.00","1,880 kilometers away"
"Koh Samui, Thailand",May 1 – 29,"25,970.00","1,880 kilometers away"
"Koh Samui, Thailand",May 1 – 29,"25,970.00","1,880 kilometers away"
"Koh Samui, Thailand",May 1 – 29,"25,970.00","1,880 kilometers away"
"Thalang, Thailand",May 1 – 29,"26,030.00","1,942 kilometers away"
"T. Bophut, Chaweng Noi, Koh Samui, Thailand",May 1 – 29,"34,224.00","1,885 kilometers away"
"Cape Town, South Africa",May 1 – 29,"54,249.00","9,954 kilometers away"
"Menaggio, Lake Como, Italy",May 4 – Jun 1,"263,614.00","7,475 kilometers away"
"Chania, Greece",May 1 – 29,"41,517.00","6,427 kilometers away"
"Paros, Greece",May 1 – 29,"105,145.00","6,300 kilometers away"
"Castagneto Carducci, Italy",May 1 – 29,"210,290.00","7,430 kilometers away"
"Cape Yamu, Thailand",May 1 – 29,"33,088.00","1,946 kilometers away"
"San Teodoro, Italy",May 4 – Jun 1,"171,657.00","7,564 kilometers away"
"Paklok A. Thalang, Thailand",May 1 – 29,"44,660.00","1,946 kilometers away"
"Chania, Greece",May 1 – 29,"30,372.00","6,429 kilometers away"
"Ko Samui, Thailand",May 1 – 29,"75,600.00","1,884 kilometers away"
"Whale Beach, Australia",May 1 – 29,"96,746.00","9,062 kilometers away"
"Santa Maria del Focallo, Italy",May 1 – 29,"36,050.00","7,210 kilometers away"
"Mikonos, Greece",May 1 – 29,"443,472.00","6,288 kilometers away"
"Mikonos, Greece",May 1 – 29,"37,762.00","6,288 kilometers away"
"Palermo, Italy",May 1 – 29,"165,228.00","7,317 kilometers away"
"Firenze, Italy",May 5 – Jun 2,"467,896.00","7,371 kilometers away"
"Arvi, Greece",May 1 – 29,"81,112.00","6,314 kilometers away"
"Fiumefreddo di Sicilia, Italy",May 1 – 29,"63,087.00","7,165 kilometers away"
"Southwest Finland, Finland",May 1 – 29,"72,099.00","6,520 kilometers away"
"Montepulciano, Italy",May 1 – 29,"69,456.00","7,342 kilometers away"
"Sorrento, Italy",May 1 – 29,"134,135.00","7,179 kilometers away"
"Baa Atoll, Maldives",May 1 – 29,"627,200.00","2,767 kilometers away"
"Tambon Thep Krasatti, Thailand",May 1 – 29,"420,000.00","1,939 kilometers away"
"Ražanac, Croatia",May 6 – Jun 3,"24,623.00","7,039 kilometers away"
"Siracusa, Italy",May 1 – 29,"54,075.00","7,175 kilometers away"
"Buonconvento, Italy",May 1 – 29,"472,402.00","7,365 kilometers away"
"Orvieto, Italy",May 4 – Jun 1,"77,267.00","7,317 kilometers away"
"Siacca, Italy",May 1 – 29,"198,274.00","7,347 kilometers away"
"Surin, Thailand",May 1 – 29,"70,000.00","1,942 kilometers away"
"Darlinghurst, Australia",May 1 – 29,"31,945.00","9,071 kilometers away"
"Mykonos, Greece",May 1 – 29,"267,369.00","6,292 kilometers away"
"Leverano, Italy",May 1 – 29,"300,415.00","6,885 kilometers away"
"Mesagne, Italy",May 4 – Jun 1,"17,640.00","6,898 kilometers away"
"Cape Town, South Africa",May 1 – 29,"107,637.00","9,947 kilometers away"
"Baa Atoll, Maldives",May 1 – 29,"784,000.00","2,767 kilometers away"
"Capannori, Italy",May 4 – Jun 1,"66,662.00","7,414 kilometers away"
"Gold Coast Hinterland, Australia",May 1 – 29,"250,993.00","8,850 kilometers away"
"Agios Lazaros, Greece",May 1 – 29,"337,966.00","6,289 kilometers away"
"Ierapetra, Greece",May 1 – 29,"73,001.00","6,266 kilometers away"
"Cape Town, South Africa",May 1 – 29,"21,490.00","9,947 kilometers away"
"Cape Town, South Africa",May 1 – 29,"40,961.00","9,947 kilometers away"
"Rožat, Croatia",May 1 – 29,"30,041.00","6,835 kilometers away"
"Tambon Kamala, Thailand",May 1 – 29,"40,040.00","1,946 kilometers away"
"Seminyak, Indonesia",May 1 – 29,"50,400.00","4,497 kilometers away"
"Kecamatan Kuta Selatan, Indonesia",May 6 – Jun 3,"132,684.00","4,510 kilometers away"
"Tambon Kamala, Thailand",May 1 – 29,"40,040.00","1,946 kilometers away"
"Suratthani, Thailand",May 24 – Jun 21,"60,480.00","1,887 kilometers away"
"Tambon Kamala, Thailand",May 1 – 29,"50,820.00","1,946 kilometers away"
"Tambon Kamala, Thailand",May 1 – 29,"40,040.00","1,946 kilometers away"
"Selca, Croatia",May 4 – Jun 1,"69,095.00","6,930 kilometers away"
"Ysterni, Greece",May 1 – 29,"76,155.00","6,301 kilometers away"
"South Kuta, Indonesia",May 1 – 29,"43,890.00","4,506 kilometers away"
"Rethymno, Greece",May 1 – 29,"52,843.00","6,365 kilometers away"
"Bondi, Australia",May 1 – 29,"57,500.00","9,076 kilometers away"
"Skinners Shoot, Australia",May 1 – 29,"36,289.00","8,922 kilometers away"
"Tambon Ratsada, Thailand",May 1 – 29,"48,416.00","1,961 kilometers away"
"Sutivan, Croatia",May 1 – 29,"65,791.00","6,959 kilometers away"
"Allerona, Italy",May 4 – Jun 1,"75,104.00","7,332 kilometers away"
"Tambon Vichit, Amphoe Mueang Phuket, Thailand",May 1 – 29,"285,023.00","1,963 kilometers away"
"Mikonos, Greece",May 1 – 29,"165,228.00","6,285 kilometers away"
"Buonconvento, Italy",May 1 – 29,"230,073.00","7,365 kilometers away"
"Selca, Croatia",May 4 – Jun 1,"57,079.00","6,929 kilometers away"
"Dubrovnik, Croatia",May 1 – 29,"85,618.00","6,838 kilometers away"
"Naithon Beach, Thailand",May 1 – 29,"44,982.00","1,936 kilometers away"
"Bellevue Hill, Australia",May 1 – 29,"86,086.00","9,073 kilometers away"
"Agios Lazaros, Greece",May 1 – 29,"205,784.00","6,291 kilometers away"
"Thalang Surin , Thailand",May 1 – 29,"108,937.00","1,941 kilometers away"
"Migiana di Monte Tezio, Italy",May 1 – 29,"156,216.00","7,290 kilometers away"
"Cherngtalay, Thailand",May 1 – 29,"154,000.00","1,941 kilometers away"
"Kecamatan Kuta Utara, Indonesia",May 1 – 29,"50,400.00","4,492 kilometers away"
"Monteroni D'arbia, Italy",May 4 – Jun 1,"90,990.00","7,365 kilometers away"
"Anacapri, Italy",May 4 – Jun 1,"377,681.00","7,192 kilometers away"
"Cape Town, South Africa",May 1 – 29,"54,075.00","9,946 kilometers away"
"San Casciano dei Bagni, Italy",May 4 – Jun 1,"49,058.00","7,339 kilometers away"
"Monte San Savino, Italy",May 1 – 29,"214,586.00","7,345 kilometers away"
"Castiglione di Ravello, Italy",May 1 – 29,"144,890.00","7,158 kilometers away"
"Capannori, Italy",May 1 – 29,"105,145.00","7,426 kilometers away"
